日付,島,現在島台数,記録台数,記録率,◎台数,○台数,△台数,◎率,○以上率,△以上率,現行判定
2026-06-19,ファン島②,10,3,30.0,0,0,3,0.0,0.0,30.0,
2026-06-19,マイジャグ島A,15,12,80.0,4,2,6,26.67,40.0,80.0,STRONG
2026-06-19,マイジャグ島B,10,10,100.0,4,1,5,40.0,50.0,100.0,STRONG
2026-06-19,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-19,マイジャグ島D,15,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-19,ミスタ島,10,6,60.0,1,3,2,10.0,40.0,60.0,
2026-06-19,ミラクル島,10,6,60.0,2,3,1,20.0,50.0,60.0,
2026-06-29,ガール島,10,4,40.0,1,1,2,10.0,20.0,40.0,
2026-06-29,ゴー島①,10,3,30.0,0,2,1,0.0,20.0,30.0,
2026-06-29,ゴー島②,10,8,80.0,4,0,4,40.0,40.0,80.0,STRONG
2026-06-29,ネオアイム島②,8,2,25.0,0,2,0,0.0,25.0,25.0,
2026-06-29,ネオアイム島③,8,4,50.0,1,0,3,12.5,12.5,50.0,
2026-06-29,ネオアイム島④,12,3,25.0,1,1,1,8.33,16.67,25.0,
2026-06-29,ネオアイム島⑤,12,7,58.33,3,3,1,25.0,50.0,58.33,
2026-06-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-06-29,ハッピ島,8,2,25.0,1,0,1,12.5,12.5,25.0,
2026-06-29,ファン島①,10,8,80.0,3,2,3,30.0,50.0,80.0,STRONG
2026-06-29,ファン島②,10,4,40.0,0,0,4,0.0,0.0,40.0,
2026-06-29,マイジャグ島A,15,13,86.67,3,3,7,20.0,40.0,86.67,STRONG
2026-06-29,マイジャグ島B,10,19,190.0,3,4,12,30.0,70.0,190.0,STRONG
2026-06-29,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
